time,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,precipitation,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2026-07-02 23:00:00,29.2,82,25.7,1001.9,0.0,60,14.0,241,33.1
2026-07-03 00:00:00,28.9,82,25.6,1001.3,0.0,52,12.6,251,34.9
2026-07-03 01:00:00,28.8,83,25.5,1000.9,0.0,51,12.9,255,31.7
2026-07-03 02:00:00,28.7,84,25.6,1000.6,0.0,36,13.4,252,29.9
2026-07-03 03:00:00,28.6,84,25.6,1000.3,0.0,39,13.1,255,28.8
2026-07-03 04:00:00,28.5,84,25.5,1000.3,0.0,57,12.7,264,27.7
2026-07-03 05:00:00,28.8,86,26.2,1000.2,0.0,14,12.0,278,26.6
2026-07-03 06:00:00,28.7,86,26.2,1000.6,0.0,30,10.7,278,25.2
2026-07-03 07:00:00,29.2,82,25.9,1001.5,0.0,45,11.0,276,26.3
2026-07-03 08:00:00,30.3,76,25.7,1001.7,0.0,10,12.5,266,30.6
2026-07-03 09:00:00,31.3,71,25.4,1001.8,0.0,14,14.7,259,37.4
2026-07-03 10:00:00,32.2,66,25.0,1002.1,0.0,42,15.6,262,40.7
2026-07-03 11:00:00,32.9,60,24.2,1002.3,0.0,100,15.5,265,42.1
2026-07-03 12:00:00,32.6,62,24.4,1001.9,0.0,90,15.2,256,40.0
2026-07-03 13:00:00,32.8,62,24.5,1001.3,0.0,88,15.7,250,41.0
2026-07-03 14:00:00,32.8,61,24.4,1000.8,0.0,54,15.8,241,41.8
2026-07-03 15:00:00,32.5,64,24.7,1000.3,0.0,38,15.8,234,42.1
2026-07-03 16:00:00,32.2,65,24.8,999.8,0.0,34,15.3,236,41.8
2026-07-03 17:00:00,31.7,66,24.5,999.4,0.0,68,14.7,243,40.0
2026-07-03 18:00:00,30.7,71,24.9,999.4,0.0,86,15.7,238,38.5
2026-07-03 19:00:00,30.1,74,25.1,999.9,0.0,43,14.5,245,38.5
2026-07-03 20:00:00,29.9,75,25.0,1000.2,0.0,79,15.8,243,37.4
2026-07-03 21:00:00,29.7,78,25.4,1001.0,0.0,98,15.2,241,37.1
2026-07-03 22:00:00,29.5,79,25.5,1001.6,0.1,55,17.0,248,40.7
2026-07-03 23:00:00,29.4,78,25.1,1001.6,0.0,95,17.2,264,40.3
2026-07-04 00:00:00,29.2,80,25.3,1001.6,0.0,83,15.5,270,40.7
2026-07-04 01:00:00,29.0,81,25.5,1001.2,0.0,27,15.7,272,36.4
2026-07-04 02:00:00,28.9,82,25.5,1000.2,0.0,4,13.5,272,35.6
2026-07-04 03:00:00,28.7,82,25.4,999.7,0.0,31,14.6,273,31.3
2026-07-04 04:00:00,28.6,83,25.4,999.4,0.0,62,14.6,275,31.3
2026-07-04 05:00:00,29.0,80,25.3,999.2,0.0,95,13.5,274,33.8
2026-07-04 06:00:00,29.0,81,25.4,999.8,0.0,46,14.9,277,32.0
2026-07-04 07:00:00,29.4,79,25.4,1000.4,0.0,48,15.3,278,35.6
2026-07-04 08:00:00,30.2,75,25.3,1000.6,0.0,71,16.2,274,39.2
2026-07-04 09:00:00,30.9,71,25.1,1000.4,0.0,80,17.2,275,42.1
2026-07-04 10:00:00,32.1,65,24.7,999.9,0.0,63,16.2,269,42.8
2026-07-04 11:00:00,32.0,66,24.7,1000.4,0.0,100,16.8,260,42.1
2026-07-04 12:00:00,32.0,66,24.9,999.8,0.0,100,16.7,256,43.2
2026-07-04 13:00:00,32.0,66,24.9,999.2,0.1,100,17.0,253,43.2
2026-07-04 14:00:00,32.1,67,25.2,998.3,0.0,100,17.5,246,44.3
2026-07-04 15:00:00,32.3,67,25.3,997.8,0.0,100,17.6,243,45.0
2026-07-04 16:00:00,31.9,69,25.4,997.2,0.0,84,16.8,246,45.0
2026-07-04 17:00:00,31.4,72,25.7,996.8,0.0,87,15.7,251,42.5
2026-07-04 18:00:00,30.7,75,25.6,996.8,0.0,100,14.7,242,39.2
2026-07-04 19:00:00,29.8,79,25.8,997.2,0.0,76,14.7,243,36.7
2026-07-04 20:00:00,29.5,81,25.8,997.9,0.0,23,13.5,243,35.6
2026-07-04 21:00:00,29.2,82,25.8,998.6,0.0,38,15.9,254,38.5
2026-07-04 22:00:00,29.2,83,26.0,998.9,0.1,23,15.4,256,37.4
2026-07-04 23:00:00,29.3,82,25.9,998.8,0.0,36,13.8,263,35.6
2026-07-05 00:00:00,29.0,84,26.1,998.7,0.0,71,13.4,266,32.8
2026-07-05 01:00:00,28.7,86,26.1,998.2,0.0,77,13.3,267,30.6
2026-07-05 02:00:00,28.6,86,26.1,998.0,0.0,99,12.6,267,31.0
